title,url
"5 Haziran'da iki Amerikalı astronot Uluslararası Uzay İstasyonu'na (ISS) test misyonu için fırlatıldığında, birkaç gün içinde evlerine dönmeyi bekliyorlardı. Ancak işler planlandığı gibi gitmedi.",https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/sekiz-gun-icin-uzaya-gittiler-2025e-kadar-mahsur-kalabilirler-872251.html
Siber zorbalık Meclis gündeminde,https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/gencler-arasindaki-siber-zorbalik-meclis-gundeminde-872253.html
Bilim Teknoloji,https://www.trthaber.comhttps://www.trthaber.com/haber/bilim-teknoloji/
Doğu Anadolu Gözlemevi uzay araştırmaları için gün sayıyor,https://www.trthaber.comhttps://www.trthaber.com/haber/bilim-teknoloji/erzurumdaki-dogu-anadolu-gozlemevi-uzay-arastirmalari-icin-gun-sayiyor-872258.html
Türkiye'nin UAD adımı dış basında,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/turkiyenin-uad-adimi-dis-basinda-872186.html
1187 general ve amiralin ataması Resmi Gazete'de,https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/187-general-ve-amiralin-atamasi-resmi-gazetede-872279.html
2Kocaeli'de bugün denize girmek yasak,https://www.trthaber.comhttps://www.trthaber.com/haber/turkiye/kocaelide-bugun-denize-girmek-yasak-872278.html
3Serinlemek için girdikleri baraj gölünden cansız bedenleri çıktı,https://www.trthaber.comhttps://www.trthaber.com/haber/turkiye/serinlemek-icin-girdikleri-baraj-golunden-cansiz-bedenleri-cikti-872281.html
4Ardahan'da 15 köye hayvanların su ihtiyacını gidermek için 96 sıvat dağıtıldı,https://www.trthaber.comhttps://www.trthaber.com/haber/guncel/ardahanda-15-koye-hayvanlarin-su-ihtiyacini-gidermek-icin-96-sivat-dagitildi-872282.html
5Düzce'de 11 yıl hapis cezası bulunan firari hükümlü yakalandı,https://www.trthaber.comhttps://www.trthaber.com/haber/guncel/duzcede-11-yil-hapis-cezasi-bulunan-firari-hukumlu-yakalandi-872277.html
"6Trump, eylülde canlı yayınlarda Harris'le tartışmaya hazır olduğunu bildirdi",https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/trump-eylulde-canli-yayinlarda-harrisle-tartismaya-hazir-oldugunu-bildirdi-872280.html
Cumhurbaşkanı Erdoğan Arnavutluk Başbakanı ile görüştü,https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/cumhurbaskani-erdogan-arnavutluk-basbakani-ile-gorustu-872214.html
"Cumhurbaşkanı Recep Tayyip Erdoğan, Arnavutluk Başbakanı Edi Rama ile bir telefon görüşmesi gerçekleştirdi. Cumhurbaşkanı Erdoğan görüşmede, iki ülke ilişkilerinin ileri düzeyde seyrettiğini, ticari, ekonomik, askeri temaslarla savunma sanayiindeki iş birliğinin atılacak adımlarla daha da güçleneceğini ifade etti.",https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/cumhurbaskani-erdogan-arnavutluk-basbakani-ile-gorustu-872214.html
Cumhurbaşkanı Erdoğan'dan şehit Piyade Astsubay Çavuş Alp'in ailesine başsağlığı,https://www.trthaber.comhttps://www.trthaber.com/haber/gundem/cumhurbaskani-erdogandan-sehit-piyade-astsubay-cavus-alpin-ailesine-bassagligi-872207.html
Lübnan: İsrail gerilimi tırmandırarak Biden'ın Gazze'de ateşkes girişimini bozmak istiyor,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/lubnan-israil-gerilimi-tirmandirarak-bidenin-gazzede-ateskes-girisimini-bozmak-istiyor-872215.html
"Lübnan Dışişleri Bakanı Abdallah Buhabib, İsrail'in mevcut gerilimi tırmandırarak ABD Başkanı Joe Biden'ın Gazze Şeridi'nde ateşkese yönelik girişimini boşa çıkarmayı hedeflediğini söyledi.",https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/lubnan-israil-gerilimi-tirmandirarak-bidenin-gazzede-ateskes-girisimini-bozmak-istiyor-872215.html
"İsrail ordusu, Han Yunus'ta geniş bir alanın boşaltılmasını istedi",https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/soykirimci-israil-ordusu-han-yunusta-genis-bir-alanin-bosaltilmasini-istedi-872206.html
İngiltere'de ırkçılık karşıtları aşırı sağın planladığı eylemlere karşı sokakları doldurdu,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/ingilterede-irkcilik-karsitlari-asiri-sagin-planladigi-eylemlere-karsi-sokaklari-doldurdu-872198.html
"BM, İsrail askerlerinin Filistinli mahkuma tecavüzünü ""şok edici"" olarak niteledi",https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/bm-israil-askerlerinin-filistinli-mahkuma-tecavuzunu-sok-edici-olarak-niteledi-872190.html
İsrail'in Gazze'de bir evi hedef aldığı saldırıda 12 Filistinli öldü,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/soykirimci-israilin-gazzede-bir-evi-hedef-aldigi-saldirida-12-filistinli-oldu-872183.html
İsrail'den Mescid-i Aksa İmam Hatibi İkrime Sabri'ye Aksa'ya giriş yasağı,https://www.trthaber.comhttps://www.trthaber.com/haber/dunya/israilden-mescid-i-aksa-imam-hatibi-ikrime-sabriye-aksaya-giris-yasagi-872168.html
Avrupa Ligi'nde ilk maçlar geride kaldı,https://www.trthaber.comhttps://www.trtspor.com.tr/haber/futbol/avrupa-liginde-ilk-maclar-geride-kaldi-19630854
"Türkiye, Hırvatistan'ı devirdi",https://www.trthaber.comhttps://www.trtspor.com.tr/haber/basketbol/turkiye-hirvatistani-devirdi-19630853
Bilim ve Teknoloji,https://www.trthaber.comhttps://www.trthaber.com/haber/bilim-teknoloji/
TEKNOFEST Türkçe Doğal Dil İşleme Yarışması’nın final süreci başladı,https://www.trthaber.comhttps://www.trthaber.com/haber/bilim-teknoloji/teknofest-turkce-dogal-dil-isleme-yarismasinin-final-sureci-basladi-872146.html
Türk bilim kadınları Kuzey Buz Denizi’nde araştırmaya yoğunlaştı,https://www.trthaber.comhttps://www.trthaber.com/haber/bilim-teknoloji/turk-bilim-kadinlari-kuzey-buz-denizinde-arastirmaya-yogunlasti-871961.html
TÜBİTAK 38 personel alacak,https://www.trthaber.comhttps://www.trthaber.com/haber/bilim-teknoloji/tubitak-38-personel-alacak-871754.html
İstanbul'un bankları,https://www.trthaber.comhttps://www.trthaber.com/haber/interaktif/istanbulun-banklari-817839.html
UNESCO Miras Listesi'nde Türkiye,https://www.trthaber.comhttps://www.trthaber.com/haber/interaktif/unesco-miras-listesinde-turkiye-798990.html
390 merkezde Ulusal Kanser Tarama Programı,https://www.trthaber.comhttps://www.trthaber.com/haber/yasam/ulusal-kanser-tarama-programi-turkiyenin-dort-bir-yaninda-872176.html
Yazın böcek ısırmalarına dikkat,https://www.trthaber.comhttps://www.trthaber.com/haber/yasam/yazin-bocek-isirmalarina-dikkat-871774.html
Aşırı korumacı ebeveynlik çocukların gelişimini tehdit ediyor,https://www.trthaber.comhttps://www.trthaber.com/haber/yasam/asiri-korumaci-ebeveynlik-cocuklarin-gelisimini-tehdit-ediyor-871683.html
Gönüllü öğretmen sayesinde 71 yaşında okuma yazmayı öğrendi,https://www.trthaber.comhttps://www.trthaber.com/haber/yasam/gonullu-ogretmen-sayesinde-71-yasinda-okuma-yazmayi-ogrendi-871552.html
